prediction,level
9.909604497354497,1
4.125203767486051,0
16.42472787397787,2
75.47362169312169,3
22.951123015873012,2
6.734694485507807,0
10.409007154882156,1
30.21691209484244,3
18.19097014044628,2
14.61863359788359,1
10.213998316498316,1
8.147592472342472,0
16.785157930504027,2
30.369267676767656,3
26.546463032468154,2
60.04055222555226,3
5.722152958152958,0
39.67139947089945,3
7.217692336616486,0
20.255176995993672,2
44.464359788359744,3
38.58556481481482,3
7.118295532596585,0
59.41835978835975,3
7.16205261195772,0
10.953383597883601,1
5.963781251072853,0
26.93100698089433,2
11.432412920412926,1
9.689182539682543,1
12.183736318002467,1
34.69478042328041,3
17.512849206349202,2
5.62541798941799,0
9.417977233928035,1
10.167417584783246,1
26.105011617207268,2
17.268252052710682,2
7.215862433862436,0
2.74653306878307,0
8.531646825396829,0
10.823161375661373,1
16.551467333755564,2
3.6653537468972273,0
32.485070105820114,3
6.635523809523807,0
18.883460098011167,2
13.164060846560847,1
8.236876984126985,0
72.85217857142858,3
95.69983730158727,3
42.75814153439155,3
12.224900793650791,1
12.381440476190486,1
34.84387433862433,3
6.778305555555555,0
11.218536075036075,1
42.23574206349207,3
3.398843915343915,0
14.795392168857003,1
16.21550907135289,2
9.34767063492063,1
17.018031979458456,2
19.770219576719576,2
59.396060846560864,3
46.29219841269843,3
16.421439143837176,2
14.799182539682546,1
4.81600132275132,0
13.931232683982687,1
79.79666552891553,3
21.315437830687827,2
104.75320767195772,3
8.619220804830858,0
17.208716931216937,2
40.794980158730134,3
41.59946031746032,3
11.020162698412694,1
86.8436345598846,3
8.372854616636317,0
81.55798412698414,3
14.094281571650171,1
9.739908989197984,1
34.019869047619046,3
73.93074074074079,3
4.449721891534392,0
50.67093518518521,3
38.700314814814824,3
41.22414959114958,3
5.067280423280427,0
38.4952269119769,3
5.332783789777811,0
24.720213875597146,2
15.262762258112256,1
6.108370743145745,0
9.529000097600484,1
22.769702380952392,2
40.03970105820105,3
10.571759000507909,1
47.38096164021162,3
5.897154761904766,0
13.96517460317461,1
10.361940716690716,1
8.63787698412698,0
9.610876984126985,1
24.62202797230004,2
10.132410323880912,1
59.30897318422316,3
6.456587544893098,0
66.72390464165466,3
30.724670634920635,3
11.989619047619055,1
31.597384920634923,3
14.209537037037046,1
55.93276984126984,3
42.66191732804232,3
14.469292711967523,1
7.351653330098822,0
59.98887698412693,3
4.532457671957671,0
8.053228878145267,0
7.801993943656989,0
10.507671188424318,1
3.762383667502088,0
13.413469346960776,1
20.636048762211452,2
8.158105820105815,0
17.168239368271372,2
19.511992063492066,2
5.54156349206349,0
46.602941798941806,3
11.606777275864236,1
16.55180549373018,2
46.430236772486765,3
36.21468783068785,3
35.046269841269854,3
9.50538756613757,1
12.962468848300961,1
11.905035714285713,1
16.627226064491296,2
49.46746833721832,3
15.529834656084649,1
10.027136405236401,1
7.404731481481478,0
74.99432539682543,3
